project_code,original_cost_cr,revised_cost_cr,expenditure_cr,cost_overrun_cr,cost_overrun_pct,delay_days,schedule_change_days,expenditure_change_cr_paimana,revision_cost_change_cr,original_cost,revised_cost,cumulative_expenditure,physical_progress_pct,expenditure_change_cr_flash,progress_change_pct,revised_cost_change_cr,previous_expenditure_cr,previous_progress_pct,flash_history_count,future_delay_flag,snapshot_year,snapshot_month_num,original_end_year,original_end_month,revised_end_year,revised_end_month,sector_freq,ministry_freq,state_freq,implementing_agency_freq
400013,26316.0,30620.0,9791.8,4304.0,16.355069159446725,649.0,649.0,0.0,0.0,26316.0,30620.0,9791.8,75.0,0.0,2.0,0.0,9791.8,73.0,3.0,0,2025.0,9.0,2024.0,6.0,2026.0,3.0,0.016053858104609,0.016053858104609,0.0063438632832729,0.0093215950284826
400013,26316.0,30620.0,9791.8,4304.0,16.355069159446725,649.0,649.0,0.0,0.0,26316.0,30620.0,9791.8,76.0,0.0,1.0,0.0,9791.8,75.0,4.0,0,2025.0,10.0,2024.0,6.0,2026.0,3.0,0.016053858104609,0.016053858104609,0.0063438632832729,0.0093215950284826
400013,26316.0,30620.0,9791.8,4304.0,16.355069159446725,649.0,649.0,0.0,0.0,26316.0,30620.0,9791.8,78.0,0.0,2.0,0.0,9791.8,76.0,5.0,0,2025.0,11.0,2024.0,6.0,2026.0,3.0,0.016053858104609,0.016053858104609,0.0063438632832729,0.0093215950284826
400013,26316.0,30620.0,9791.8,4304.0,16.355069159446725,649.0,649.0,0.0,0.0,26316.0,30620.0,9791.8,80.0,0.0,2.0,0.0,9791.8,78.0,6.0,0,2025.0,12.0,2024.0,6.0,2026.0,3.0,0.016053858104609,0.016053858104609,0.0063438632832729,0.0093215950284826
400013,26316.0,30620.0,9791.8,4304.0,16.355069159446725,649.0,649.0,0.0,0.0,26316.0,30620.0,9791.8,82.0,0.0,2.0,0.0,9791.8,80.0,7.0,0,2026.0,1.0,2024.0,6.0,2026.0,3.0,0.016053858104609,0.016053858104609,0.0063438632832729,0.0093215950284826
400013,26316.0,30620.0,9791.8,4304.0,16.355069159446725,649.0,649.0,0.0,0.0,26316.0,30620.0,9791.8,83.0,0.0,1.0,0.0,9791.8,82.0,8.0,0,2026.0,2.0,2024.0,6.0,2026.0,3.0,0.016053858104609,0.016053858104609,0.0063438632832729,0.0093215950284826
400013,26316.0,30620.0,9791.8,4304.0,16.355069159446725,649.0,649.0,0.0,0.0,26316.0,30620.0,9791.8,83.7,0.0,0.7000000000000028,0.0,9791.8,83.0,9.0,0,2026.0,3.0,2024.0,6.0,2026.0,3.0,0.016053858104609,0.016053858104609,0.0063438632832729,0.0093215950284826
400019,493.0,1171.0,234.48,678.0,137.52535496957404,273.0,273.0,1.5600000000000025,0.0,493.0,1171.0,234.48,9.0,1.75,0.3499999999999943,0.0,381.695,73.0,1.0,0,2025.0,7.0,2026.0,12.0,2027.0,9.0,0.2149145520455722,0.2133609528741584,0.0919212843086483,0.002071465561885
400019,493.0,1170.83,245.11,677.8299999999999,137.49087221095334,273.0,273.0,10.630000000000024,-0.1700000000000727,492.76,1170.83,245.11,16.0,10.630000000000024,7.0,-0.1700000000000727,234.48,9.0,2.0,0,2025.0,8.0,2026.0,12.0,2027.0,9.0,0.2149145520455722,0.2133609528741584,0.0919212843086483,0.002071465561885
400019,493.0,1170.83,256.28,677.8299999999999,137.49087221095334,273.0,273.0,11.16999999999996,0.0,492.76,1170.83,256.28,16.0,11.16999999999996,0.0,0.0,245.11,16.0,3.0,0,2025.0,9.0,2026.0,12.0,2027.0,9.0,0.2149145520455722,0.2133609528741584,0.0919212843086483,0.002071465561885
